ID,Latitude,Longitude
USC00058290,37.6667,-103.9167
USC00058345,38.4703,-102.0828
USC00058429,37.1786,-104.4869
USC00058431,37.1833,-104.5167
USC00058436,37.1503,-104.5567
USC00058454,37.8333,-107.8833
USC00058458,37.8167,-107.2
USC00058468,37.1333,-103.3
USC00058496,39.0833,-106.3
USC00058501,39.0942,-106.3506
USC00058510,37.5667,-102.4
USC00058516,37.65,-102.5333
USC00058560,38.3761,-108.7422
USC00058574,37.2667,-103.0333
USC00058575,39.6394,-106.3539
USC00058582,37.3806,-107.5811
USC00058590,37.3833,-107.5833
USC00058613,39.9489,-102.2456
USC00058614,39.9181,-102.3825
USC00058649,38.7167,-105.15
USC00058690,40.9656,-105.2186
USC00058722,39.3,-102.7333
USC00058742,37.8,-106.8333
USC00058756,40.7442,-106.2792
USC00058781,37.6303,-104.7956
USC00058793,37.3822,-102.2986
USC00058839,40.4256,-105.2103
USC00058860,37.4297,-106.0317
USC00058907,40.7256,-105.1097
USC00058931,38.1311,-105.4661
USC00058939,39.1333,-105.1167
USC00058963,39.1,-107.5167
USC00058986,38.2167,-105.1
USC00058988,38.1333,-105.2
USC00058990,38.1333,-105.0833
USC00058992,38.2797,-104.5214
USC00058995,39.775,-105.1169
USC00058997,37.8672,-104.1139
USC00059025,40.15,-104.1833
USC00059045,38.9167,-107.5167
USC00059058,38.9028,-103.0192
USC00059060,38.6675,-102.9936
USC00059096,40.0375,-106.2039
USC00059103,40.3,-107.2667
USC00059147,40.4667,-104.9
USC00059175,39.8897,-105.7619
USC00059181,37.4744,-106.7906
USC00059183,37.4833,-106.8667
USC00059210,39.1006,-105.0942
USC00059213,40.075,-103.5678
USC00059216,37.0183,-104.4886
USC00059243,40.0819,-102.2069
USC00059246,40.3361,-102.2586
USC00059265,40.1561,-106.9092
USC00059275,37.5217,-108.755
USC00059278,37.5594,-108.6636
USC00059295,40.1236,-102.7217
USC00059297,40.2094,-102.8117
USC00060120,41.3333,-73.0833
USC00060128,41.3492,-73.0917
USC00060227,41.8417,-73.0086
USC00060251,41.6167,-72.1
USC00060299,41.9211,-72.9636
USC00060373,41.45,-73.05
USC00060634,41.8333,-72.7333
USC00060801,41.2,-73.2
USC00060808,41.2003,-73.1569
USC00060830,41.6833,-72.9833
USC00060918,41.7833,-71.95
USC00060961,41.6764,-73.5086
USC00060973,41.7944,-72.9319
USC00061093,41.4833,-73.4667
USC00061488,41.4614,-72.5197
USC00061499,41.55,-72.3667
USC00061508,42.0003,-73.0439
USC00061536,41.8,-72.9333
USC00061689,41.8,-72.35
USC00061715,41.9,-73.3167
USC00061762,41.4,-73.4167
USC00061798,41.3667,-72.9833
USC00061844,41.3167,-73.0833
USC00062073,41.9,-72.0833
USC00062169,41.2847,-72.8564
USC00062288,41.2333,-73.25
USC00062655,41.9333,-73.3167
USC00062658,41.95,-73.3667
USC00062760,42.0281,-72.575
USC00062899,41.4333,-72.0833
USC00063137,41.0833,-73.7
USC00063207,41.3511,-72.0389
USC00063210,41.2858,-72.6714
USC00063420,41.7675,-72.0531
USC00063446,41.7667,-72.7
USC00063495,41.9,-73.2833
USC00063583,41.2333,-73.2667
USC00063857,41.6297,-71.9014
USC00063905,41.7333,-73.4833
USC00063989,41.4,-72.1833
USC00064096,41.1667,-73.55
USC00064443,41.7667,-72.4833
USC00064488,41.7569,-72.1856
USC00064599,41.2,-73.5167
USC00064757,41.55,-72.55
USC00064767,41.55,-72.7167
USC00064790,41.2,-73.0833
USC00064933,41.8333,-73.3
USC00065018,41.5,-72.4333
USC00065077,41.4078,-72.9028
USC00065125,41.8833,-72.0833
USC00065131,41.7667,-72.35
USC00065262,41.8833,-72.95
USC00065266,41.3,-72.9333
USC00065285,41.7,-72.7333
USC00065309,41.35,-72.1
USC00065445,41.9725,-73.2208
USC00065510,41.3333,-72.7667
USC00065641,41.3833,-72.7167
USC00065664,41.7667,-73.4333
USC00065757,42.0333,-72.4333
USC00065772,41.1167,-73.5333
USC00065892,41.1333,-73.45
USC00065893,41.1167,-73.4167
USC00065904,41.55,-72.0833
USC00065905,41.5,-72.15
USC00065910,41.5269,-72.0642
USC00066131,41.5833,-71.85
USC00066239,41.9333,-73
USC00066597,41.5,-72.95
USC00066645,41.9167,-71.9167
USC00066650,41.9,-71.8667
USC00066655,41.0825,-73.6386
USC00066660,41.9333,-71.9333
USC00066942,41.8667,-72.4333
USC00066954,41.1,-73.6333
USC00066966,41.5833,-73.4333
USC00067002,41.3008,-73.5369
USC00067109,41.9833,-73.45
USC00067157,41.25,-73.35
USC00067361,41.3167,-73.0833
USC00067373,41.7167,-73.3
USC00067432,41.6444,-72.8167
USC00067904,42,-72.2833
USC00067946,41.95,-72.3
USC00067949,41.95,-72.2
USC00067958,41.9983,-72.2606
USC00067959,41.95,-72.3
USC00067969,41.0667,-73.5
USC00067970,41.1247,-73.5475
USC00068065,41.3819,-73.1717
USC00068138,41.795,-72.2286
USC00068324,41.65,-73.0833
USC00068330,41.6931,-73.06
USC00068364,42,-72.6
USC00068436,41.8,-73.1167
USC00068438,41.8,-73.1167
USC00068441,41.8,-73.1333
USC00068488,41.2833,-73.15
USC00068835,41.7333,-73.3333
USC00068859,41.6333,-73.3167
USC00068906,41.55,-73.0333
USC00068911,41.5667,-73.0333
USC00068916,41.5833,-73.0333
USC00069007,41.3,-73.0333
USC00069067,41.3,-72.4333
USC00069162,41.8089,-72.7806
USC00069174,42,-72.9667
USC00069388,41.9442,-71.9031
USC00069508,41.7333,-72.95
USC00069544,41.3333,-72.9167
USC00069568,41.6667,-73.1333
USC00069592,41.7167,-72.2333
USC00069759,41.6167,-72.95
USC00069775,41.5536,-73.2297
USC00069783,41.5667,-73.2667
USC00071200,39.5917,-75.7325
USC00071330,38.75,-75.6167
USC00071483,39.3,-75.6333
USC00072625,39.5667,-75.5833
USC00072730,39.1467,-75.5056
USC00073500,38.5311,-75.235
USC00073570,38.6333,-75.45
USC00073595,38.8161,-75.5761
USC00075217,38.5333,-75.5667
USC00075320,38.7756,-75.1389
USC00075852,39.45,-75.6667
USC00075915,38.8983,-75.425
USC00076020,38.5833,-75.3167
USC00076102,38.8203,-75.203
USC00076405,39.6667,-75.75
USC00076410,39.6694,-75.7514
USC00078269,38.4667,-75.2167
USC00078508,39.2947,-75.6194
USC00078510,39.35,-75.6333
USC00079600,39.75,-75.55
USC00079605,39.7739,-75.5414
USC00080025,29.8833,-83.6333
USC00080070,29.05,-81.55
USC00080211,29.7258,-85.0206
USC00080228,27.2178,-81.8742
USC00080236,27.1819,-81.3508
USC00080369,27.5947,-81.5267
USC00080374,27.6,-81.5
USC00080390,27.85,-81.5167
USC00080414,24.655,-81.28
USC00080478,27.8861,-81.8325
USC00080488,27.3833,-81.0333
USC00080520,28.0667,-82.5
USC00080531,30.1667,-85.7167
USC00080535,28.55,-82.6333
USC00080540,28.55,-82.6167
USC00080598,29.7956,-82.9178
USC00080611,26.6928,-80.6711
USC00080616,26.7,-80.7167
USC00080735,26.365,-81.5478
USC00080737,26.3283,-80.9958
USC00080739,26.3167,-81
USC00080747,24.7167,-81.3833
USC00080758,28.55,-81.1167
USC00080765,30.9833,-86.65
USC00080804,30.45,-85.05
USC00080845,26.3675,-80.1108
USC00080875,30.7833,-85.6833
USC00080887,26.3333,-81.75
USC00080940,27.4833,-82.55
USC00080945,27.4467,-82.5014
USC00080975,29.9625,-82.9108
USC00080992,27.0436,-81.07
USC00081020,30.4181,-84.9861
USC00081022,30.3794,-84.9789
USC00081046,28.6164,-82.3658
USC00081051,28.6333,-82.3167
USC00081056,28.6333,-82.3333
USC00081163,28.6664,-82.0894
USC00081218,29.9833,-81.9833
USC00081271,26.8667,-80.6333
USC00081276,26.8639,-80.6256
USC00081299,30.6,-87.3167
USC00081305,25.15,-80.9333
USC00081306,25.6719,-80.1567
USC00081310,26.5333,-82.1833
USC00081356,29.8667,-84.6667
USC00081388,30.7667,-85.8167
USC00081432,29.1333,-83.05
USC00081502,30.7,-84.8667
USC00081544,30.7806,-85.5503
USC00081556,25.8144,-81.3617
USC00081565,28.55,-81.1
USC00081601,30.4647,-85.1992
USC00081632,27.9667,-82.7667
USC00081635,27.9833,-82.8333
USC00081641,28.4558,-81.7233
USC00081649,26.7333,-80.95
USC00081651,26.7361,-81.0492
USC00081654,26.7422,-80.94
USC00081716,25.65,-80.2833
USC00081775,30.6,-85.4
USC00081795,24.7833,-80.8833
USC00081800,26.0472,-80.2839
USC00081832,25.1833,-80.9
USC00081858,26.2678,-80.275
USC00081869,27.4,-81.1667
USC00081978,29.425,-81.5161
USC00081984,30.7667,-86.5833
USC00082008,29.6333,-83.1053
USC00082046,24.7425,-80.9819
USC00082114,26.0667,-80.2
USC00082150,29.1967,-81.0083
USC00082200,28.1,-80.9
USC00082220,30.7244,-86.0939
USC00082229,29.0097,-81.2981
USC00082288,27.3697,-81.5136
USC00082298,26.6639,-81.09
USC00082391,30.2497,-83.2594
USC00082418,24.6278,-82.8736
USC00082441,24.7706,-80.9072
USC00082827,28.85,-81.6833
USC00082834,28.35,-81.8333
USC00082850,25.8489,-81.3897
USC00082915,29.755,-81.5389
USC00082923,26.5333,-81.4333
USC00082936,27.6833,-80.65
USC00082944,30.6669,-81.4525
USC00083020,25.1422,-80.9144
USC00083026,28.0425,-81.0372
USC00083137,27.5139,-80.7694
USC00083153,27.5728,-82.1392
USC00083163,26.1019,-80.2011
USC00083168,26.1408,-80.1061
USC00083171,26.0833,-80.25
USC00083207,27.4419,-80.3508
USC00083209,27.4272,-80.4053
USC00083230,30.4333,-85.4167
USC00083316,29.65,-82.35
USC00083321,29.6333,-82.3667
USC00083322,29.6814,-82.4942
USC00083470,30.2717,-82.1856
USC00083538,30.9575,-85.5331
USC00083571,27.8,-81.2
USC00083713,28.0833,-81.6167
USC00083718,28.1,-81.65
USC00083840,28.3833,-81.1833
USC00083874,29.7653,-81.4697
USC00083909,25.8175,-80.2858
USC00083956,29.8286,-82.5972
USC00083978,30.7,-81.9333
USC00083986,28.1469,-82.2275
USC00084050,26.0281,-80.1342
USC00084075,28.05,-81.05
USC00084091,25.5,-80.5
USC00084095,25.5011,-80.55
USC00084198,26.55,-80.05
USC00084210,26.4622,-81.4406
USC00084242,27.8,-81.3333
USC00084262,27.0167,-80.4667
USC00084273,29.0253,-82.6158
USC00084289,28.8028,-82.3128
USC00084320,24.9178,-80.6364
USC00084327,29.45,-82.1
USC00084332,28.4833,-81.5333
USC00084366,30.2875,-81.3928
USC00084393,30.5333,-83.0167
USC00084394,30.5228,-82.9447
USC00084412,25.1936,-80.3492
USC00084461,26.86,-80.0553
USC00084500,27.8703,-81.0436
USC00084502,27.9167,-81.1167
USC00084518,25.6833,-80.2833
USC00084571,24.5533,-81.7881
USC00084620,28.3,-81.4167
USC00084621,27.6039,-81.0531
USC00084625,28.2764,-81.4239
USC00084662,26.7458,-81.4264
USC00084667,26.7667,-81.45
USC00084707,28.1042,-81.7144
USC00084712,28.1333,-81.7167
USC00084723,29.9453,-82.3314
USC00084731,30.1853,-82.5942
USC00084771,28.5333,-81.4667
USC00084802,27.9922,-82.0139
USC00084845,27.2833,-81.3833
USC00084866,26.4333,-81.4833
USC00084892,30.4167,-83.9167
USC00084980,28.8167,-81.8667
USC00085035,24.9,-80.7
USC00085076,28.8728,-81.7844
USC00085099,30.2889,-82.965
USC00085124,27.4167,-82.65
USC00085182,26.6833,-80.2667
USC00085184,26.4986,-80.2161
USC00085237,29.2003,-81.9305
USC00085275,30.4653,-83.4022
USC00085315,27.9,-81.5667
USC00085345,24.725,-81.0519
USC00085351,24.7333,-81.05
USC00085359,25.9492,-81.7139
USC00085372,30.7667,-85.2667
USC00085377,30.7342,-85.0306
USC00085391,29.67,-81.215
USC00085539,30.1064,-83.1819
USC00085603,28.0547,-80.5511
USC00085607,28.1167,-80.75
USC00085612,28.1136,-80.6539
USC00085622,29.7167,-82.05
USC00085643,28.35,-80.7
USC00085648,30.55,-86.75
USC00085653,25.7833,-80.1833
USC00085660,25.8833,-80.1333
USC00085662,29.7167,-82.05
USC00085667,25.7553,-80.3836
USC00085678,25.65,-80.3
USC00085690,29.5,-82.2833
USC00085705,30.0603,-81.8475
USC00085719,26.1833,-81.35
USC00085756,30.75,-86.65
USC00085793,30.7794,-87.1414
USC00085850,30.7,-87.3667
USC00085866,25.85,-81.1
USC00085879,30.4922,-83.7833
USC00085880,30.4406,-83.9858
USC00085895,26.84,-81.0872
USC00085935,29.2833,-82.45
USC00085950,30.3333,-81.6833
USC00085973,27.9378,-81.5992
USC00085990,30.6667,-84.7
USC00086040,27.6167,-82.7333
USC00086048,26.8261,-81.4914
USC00086065,27.2417,-82.3161
USC00086078,26.1653,-81.6842
USC00086092,27.2878,-80.2214
USC00086129,30.9539,-85.8831
USC00086210,29.05,-80.95
USC00086240,30.5317,-86.4928
USC00086251,27.9333,-81
USC00086315,25.95,-80.2158
USC00086318,26.5667,-80.75
USC00086323,26.3336,-80.5372
USC00086404,27.8,-81.2
USC00086406,25.8603,-81.0331
USC00086414,29.1639,-82.0778
USC00086416,29.1667,-81.7667
USC00086419,29.2,-82.1
USC00086477,27.2556,-80.8358
USC00086478,27.25,-80.8667
USC00086480,27.2333,-80.9667
USC00086485,27.1508,-80.8653
USC00086500,29.6167,-82.9833
USC00086515,30.2,-82.45
USC00086584,28.9333,-81.3
USC00086598,28.8333,-81.9833
USC00086612,30.1667,-81.7
USC00086618,29.4794,-81.9681
USC00086620,29.5,-81.9167
USC00086633,28.55,-81.35
USC00086634,28.5083,-81.5467
USC00086657,26.7897,-81.3045
USC00086700,28.9333,-82.0333
USC00086753,29.6439,-81.6606
USC00086761,27.9153,-80.6458
USC00086764,26.8261,-80.1489
USC00086767,29.6319,-81.2061
USC00086828,29.9989,-84.485
USC00086836,30.1667,-85.7
USC00086841,30.1667,-85.7
USC00086842,30.2492,-85.6606
USC00086855,28.75,-82.1
USC00086880,27.6089,-82.3475
USC00086969,29.9833,-81.8
USC00086988,25.9297,-80.4539
USC00086999,30.53,-87.1989
USC00087005,25.9383,-80.4406
USC00087020,25.5819,-80.4361
USC00087025,30.0986,-83.5742
USC00087033,25.6,-80.35
USC00087070,29.0167,-81.4667
USC00087115,25.75,-80.9333
USC00087137,27.8333,-82.7
USC00087189,26.1108,-80.2728
USC00087205,28.0208,-82.1386
USC00087228,28.7992,-81.5372
USC00087254,26.2333,-80.1406
USC00087261,29.0361,-80.9181
USC00087272,30.2333,-81.3833
USC00087293,26.9833,-80.6167
USC00087304,27.0997,-80.2628
USC00087395,26.9333,-82.05
USC00087397,26.9147,-81.9969
USC00087424,30.5833,-84.5833
USC00087429,30.5497,-84.5836
USC00087440,30.0678,-82.1928
USC00087600,26.6833,-80.6667
USC00087665,29.0667,-82.4667
USC00087758,26.8561,-80.3008
USC00087760,25.3867,-80.5936
USC00087812,29.8833,-81.3333
USC00087820,29.8333,-81.2667
USC00087826,29.8858,-81.2883
USC00087832,28.25,-81.2667
USC00087838,29.0333,-81.3833
USC00087851,28.3378,-82.26
USC00087859,27.1167,-80.2833
USC00087867,30.1,-84.1667
USC00087869,30.1922,-84.2117
USC00087886,27.7628,-82.6261
USC00087950,30.0667,-84.6
USC00087977,28.8167,-81.25
USC00087982,28.8147,-81.2778
USC00088021,27.35,-82.5333
USC00088024,27.3333,-82.4667
USC00088040,29.55,-81.65
USC00088051,28.73,-80.8794
USC00088076,29.6711,-83.3883
USC00088082,27.8167,-80.4833
USC00088094,30.2,-83.65
USC00088165,27.8167,-81.2167
USC00088290,30.2,-84.6667
USC00088368,26.47,-80.6403
USC00088396,25.7,-80.35
USC00088527,29.9333,-82.1
USC00088529,29.9381,-82.1164
USC00088530,29.95,-82.0333
USC00088565,29.7236,-83.3061
USC00088573,29.7,-83.3833
USC00088620,27.1897,-80.2397
USC00088671,26.2667,-81.35
USC00088737,30.0667,-81.65
USC00088754,30.4333,-84.2833
USC00088756,30.3961,-84.3556
USC00088775,25.7667,-80.45
USC00088780,25.7608,-80.8242
USC00088782,27.7053,-82.4008
USC00088786,27.95,-82.45
USC00088824,28.1522,-82.7539
USC00088841,25.0069,-80.5211
USC00088890,28.05,-82.3833
USC00088942,28.6242,-80.8169
USC00088967,28.1333,-81.3333
